Epoch 1: {'loss': 0.3828794062137604, 'accuracy': 0.9335845112800598, 'f1_score': 0.8989502787590027, 'val_loss': 0.221077561378479, 'val_accuracy': 0.9414892196655273, 'val_f1_score': 0.9415014982223511}
Epoch 2: {'loss': 0.23043447732925415, 'accuracy': 0.9393656253814697, 'f1_score': 0.9393711090087891, 'val_loss': 0.2295847237110138, 'val_accuracy': 0.9414892792701721, 'val_f1_score': 0.9425044059753418}
Epoch 3: {'loss': 0.21753330528736115, 'accuracy': 0.940380334854126, 'f1_score': 0.9406316876411438, 'val_loss': 0.22987395524978638, 'val_accuracy': 0.9444978833198547, 'val_f1_score': 0.9394857883453369}
Epoch 4: {'loss': 0.21418941020965576, 'accuracy': 0.9405881762504578, 'f1_score': 0.940649151802063, 'val_loss': 0.19151978194713593, 'val_accuracy': 0.9458383321762085, 'val_f1_score': 0.9456210732460022}
Epoch 5: {'loss': 0.20566552877426147, 'accuracy': 0.9420618414878845, 'f1_score': 0.941809892654419, 'val_loss': 0.1919606477022171, 'val_accuracy': 0.9437190294265747, 'val_f1_score': 0.9437617063522339}
Epoch 6: {'loss': 0.18823255598545074, 'accuracy': 0.9450258612632751, 'f1_score': 0.9447959065437317, 'val_loss': 0.1731964647769928, 'val_accuracy': 0.9501570463180542, 'val_f1_score': 0.9500250220298767}
Epoch 7: {'loss': 0.21439988911151886, 'accuracy': 0.9412923455238342, 'f1_score': 0.9412187337875366, 'val_loss': 0.2100374549627304, 'val_accuracy': 0.9414892196655273, 'val_f1_score': 0.941838264465332}
Epoch 8: {'loss': 0.20425257086753845, 'accuracy': 0.942969024181366, 'f1_score': 0.9430144429206848, 'val_loss': 0.19052700698375702, 'val_accuracy': 0.9458312392234802, 'val_f1_score': 0.9458409547805786}
Epoch 9: {'loss': 0.2097833752632141, 'accuracy': 0.9421091675758362, 'f1_score': 0.9420490860939026, 'val_loss': 0.2022889405488968, 'val_accuracy': 0.9432169198989868, 'val_f1_score': 0.943294107913971}
Epoch 10: {'loss': 0.1998068392276764, 'accuracy': 0.9432675242424011, 'f1_score': 0.9432401061058044, 'val_loss': 0.198393315076828, 'val_accuracy': 0.9482409954071045, 'val_f1_score': 0.9479596018791199}
